iter	Passed	Remaining
0	81	81035
1	81	40877
2	82	27433
3	83	20690
4	83	16644
5	84	13946
6	85	12072
7	85	10641
8	86	9519
9	86	8611
10	87	7877
11	88	7263
12	88	6742
13	89	6294
14	89	5904
15	90	5580
16	91	5302
17	92	5038
18	93	4803
19	93	4594
20	94	4397
21	94	4218
22	95	4053
23	95	3902
24	96	3764
25	97	3638
26	97	3519
27	98	3407
28	98	3304
29	99	3208
30	99	3120
31	100	3036
32	100	2957
33	101	2881
34	101	2810
35	102	2744
36	103	2682
37	103	2622
38	104	2565
39	104	2510
40	105	2458
41	105	2409
42	106	2362
43	106	2317
44	107	2274
45	107	2233
46	108	2194
47	108	2160
48	109	2124
49	109	2089
50	110	2056
51	111	2024
52	111	1993
53	112	1964
54	112	1935
55	113	1907
56	113	1880
57	114	1856
58	114	1832
59	115	1814
60	116	1790
61	117	1771
62	117	1750
63	118	1729
64	118	1708
65	119	1687
66	119	1670
67	120	1657
68	121	1639
69	122	1622
70	122	1604
71	123	1587
72	123	1571
73	124	1554
74	124	1538
75	125	1523
76	125	1508
77	126	1494
78	127	1480
79	127	1466
80	128	1453
81	128	1439
82	128	1423
83	129	1410
84	129	1398
85	130	1386
86	131	1374
87	131	1363
88	132	1352
89	132	1341
90	133	1331
91	133	1322
92	134	1311
93	135	1301
94	135	1291
95	136	1281
96	136	1271
97	137	1261
98	137	1252
99	138	1243
100	138	1235
101	139	1227
102	139	1219
103	140	1210
104	141	1203
105	141	1194
106	142	1186
107	142	1178
108	143	1170
109	143	1163
110	144	1155
111	144	1148
112	145	1141
113	145	1134
114	146	1127
115	147	1120
116	147	1113
117	148	1106
118	148	1099
119	149	1092
120	149	1086
121	149	1078
122	150	1072
123	150	1066
124	151	1061
125	152	1055
126	152	1049
127	153	1043
128	153	1037
129	154	1032
130	154	1027
131	155	1021
132	155	1016
133	156	1010
134	156	1005
135	157	1000
136	158	999
137	159	995
138	159	990
139	160	987
140	161	982
141	161	976
142	162	972
143	162	967
144	163	963
145	164	959
146	164	955
147	165	951
148	165	946
149	166	942
150	166	938
151	167	934
152	167	929
153	168	925
154	168	921
155	169	917
156	170	913
157	170	909
158	171	906
159	171	902
160	172	898
161	172	894
162	173	891
163	174	887
164	174	884
165	175	880
166	175	877
167	176	873
168	177	870
169	177	867
170	178	864
171	178	861
172	179	857
173	179	854
174	180	850
175	180	847
176	181	843
177	182	840
178	182	837
179	183	834
180	183	831
181	184	828
182	184	825
183	185	822
184	186	819
185	186	816
186	187	813
187	187	810
188	188	807
189	188	805
190	189	802
191	189	799
192	190	796
193	191	793
194	191	791
195	192	788
196	192	785
197	193	783
198	193	780
199	194	777
200	195	775
201	195	772
202	196	770
203	196	767
204	197	764
205	197	762
206	198	759
207	198	757
208	199	754
209	199	752
210	200	749
211	201	747
212	201	745
213	202	742
214	202	740
215	203	738
216	203	735
217	204	733
218	204	730
219	205	728
220	205	726
221	206	723
222	207	721
223	207	719
224	208	716
225	208	714
226	209	712
227	209	709
228	210	707
229	210	705
230	211	702
231	211	700
232	212	698
233	212	696
234	213	694
235	213	692
236	214	690
237	214	687
238	215	685
239	215	683
240	216	681
241	216	679
242	217	677
243	218	675
244	218	673
245	219	671
246	219	669
247	220	667
248	220	665
249	221	663
250	221	661
251	222	659
252	222	657
253	223	655
254	223	653
255	224	651
256	224	649
257	225	648
258	225	646
259	226	644
260	227	642
261	227	640
262	228	639
263	228	637
264	229	635
265	229	633
266	230	631
267	230	629
268	231	628
269	231	626
270	232	624
271	232	623
272	233	621
273	233	619
274	234	618
275	234	616
276	235	614
277	236	613
278	236	611
279	237	609
280	237	608
281	238	606
282	238	605
283	239	603
284	239	602
285	240	600
286	241	599
287	241	598
288	242	596
289	243	595
